Pályázat témaköre,Thematic area,#,Azonosító,Pályázó szervezet neve,A pályázat címe,Project name,Settlement,Város,Project Promoter,Project name and number,Project Summary,Projekt összefoglaló,,Amount (EUR)
Demokrácia és emberi jogok (Makró),"democracy and human rights",115,NCTA-2013-4171-M1,Társaság a Szabadságjogokért,Jó gyakorlatok az alapjogok védelmében,Best Practices in Protection of Fundamental Rights,Budapest,Budapest,Hungarian Civil Liberties Union,HU05-0089 - Best Practices in Protection of Fundamental Rights,"The project aims to transfer HCLU’s 20 year experience in legal aid, advocacy, communication and organizational experience to12 chosen NGOs for whom the relevant legal approaches will prove useful in their work and in their field of activity, particularly in strategic litigation and advocacy working order to enforce human and civil rights. In the present political atmosphere, the restructuring of HCLU and strengthening some of its programs (Political Freedoms, Roma Program) is necessary. In order to strengthen and make HCLU sustainable, the development and implementation of an organisational and fundraising strategy is planned. HCLU plans to hold training programs and launches a joint online platform with the selected organizations. HCLU is dedicated to passing its knowledge in human rights and civil liberties, strategic litigation strategies and communication tools, which the NGOs will later utilise themselves or even pass along to other NGOs.","A projekt célja a TASZ két évtizedes jogvédő, érdekképviseleti, kommunikációs és szervezeti tapasztalatainak átadása 12 olyan civil szervezet részére, amelyek számára releváns és hasznosítható a tevékenységi területükön fellelhető jogi problémák megközelítése, különös tekintettel az emberi és állampolgári jogok érvényesítésére irányuló ügyképviseleti és érdekérvényesítési munkára. A 12 kiválasztott szervezetnek fontos, hogy legyen olyan jog- és érdekérvényesítési tevékenysége, ahol a TASZ által átadni kívánt tudást használni tudják, legyen megfogalmazott küldetése, dokumentált aktivitása az elmúlt 2 év során. A TASZ törekszik arra, hogy a bevont szervezetek a civil társadalom minél szélesebb spektrumát lefedjék, és legyenek köztük országos és helyi/regionális szervezetek. Magyarország egyre inkább távolodik a demokráciától. Ebben a politikai helyzetben a TASZ átstrukturálására és egyes programjainak (Politikai szabadságjogok, Romaprogram) megerősítése is fontos.",,€107 133
Demokrácia és emberi jogok (Makró),"democracy and human rights",112,NCTA-2013-4166-M1,Kortárs Építészeti Központ Alapítvány,Civil város: LAKATLAN ingatlanok a közösségek szolgálatában,Civic City: Vacant properties in the service of communities,Budapest,Budapest,Hungarian Contemporary Architecture Centre,HU05-0087 - Civic City: Vacant properties in the service of communities,"KÉK’s aim is to empower civil society by creating a framework for the use of vacant properties through a temporarily discounted lease. Besides the large number of long-term vacant properties many groups with social/art activities lack space. Connecting them will serve as a catalyst, which KÉK will elaborate and demonstrate through linking the partners into a legal and economic framework for renting and operating spaces. This opens perspectives for civil society, real estate owners in creating new uses for properties. Main project activities are: identifying community organizations in need of space; developing their projects, mapping empty properties and current state of rental legislation; elaborating models of sustainable use; negotiating with owners; organising professional and public events and campaigns. The Oslo School of Architecture and Design supports the program with experience from Oslo in the form of a workshop, field trip and an exhibition. http://toltsdujra.hu/en/, http://lakatlan.kek.org.hu/en/.","A Lakatlan program célja olyan szociális és kulturális funkciók helyhez segítése üresen álló, könnyen felújítható ingatlanokban, amelyek támogatják egymás céljait, segítik kibontakoztatni egymás kapacitásait, és ezáltal gazdaságilag is fenntarthatóvá válnak. A KÉK a program során eljut abba a szervezeti fázisba, ahol hosszú távú, komplex stratégiai programokat képes kidolgozni az épített környezettel való felelős és hatékony civil szerepvállalás érdekében. A program részeként a KÉK együttműködésre lép olyan civil szervezetekkel, szociális tevékenységű csoportokkal, és társadalmi vállalkozásokkal, amelyek működésében jelentős kiinduló segítséget jelent egy helyiség időszakos megszerzése. A program lépései között található a helyigényt megfogalmazó szervezetek azonosítása, az üres ingatlanok feltérképezése és szervezetekhez társítása, a köztes használati konstrukció kidolgozása, és a tulajdonosokkal való egyeztetés, valamint kapcsolódó szakmai és nyilvános események, kampányok szervezése. A program során a KÉK partnereivel egy olyan ingatlanhasználati és működtetési keretrendszert dolgoz ki, amely a tulajdonosokkal elfogadtatva megnyitja az utat a civil szféra előtt az üresen álló ingatlanok időszakos közösségi és szociális használatához, ezzel segítve az alulról szerveződő kezdeményezéseket az általuk vállalt szociális és szocio-kulturális feladatok ellátásában, és hozzájárulva azok fenntarthatóságához.",,€131 961
Demokrácia és emberi jogok (Makró),"democracy and human rights",107,NCTA-2013-4153-M1,K-Monitor Közhasznú Egyesület,Nyílt adatokkal az átláthatóságért!,Enhancing Transparency with Open Data,Budapest,Budapest,K-Monitor Public Benefit Association,HU05-0084 - Enhancing Transparency with Open Data,"Despite the high level of corruption, civil society is weak in many areas, citizens are not aware of the damages caused by corruption. The project aims at empowering civic groups to become more effective in their actions against corruption. To this end, K-Monitor Association will develop methodological materials and tools for civic initiatives operating in the fields of advocacy, information provision and citizen engagement in order to assist them in elaborating data-based, authentic research materials, articles, recommendations, IT applications, infographipcs etc. that reach out to and makes an impact on policy-makers and citizens. In the framework of the project the civic groups involved in the process will implement 10 open data actions, conduct an awareness raising campaign, organize a conference and develop IT tools so that they can draw attention to the damages caused by corruption and compel citizens, civil society organizations and policy makers to reflect and act.","A projekt a K-Monitor szakmai és pénzügyi fenntarthatóságát fejleszti: a stratégia letisztázásával, a társadalmi bázis megerősítésével, a forrásteremtési tevékenység és a szakmai szolgáltatások fejlesztésével a K-Monitor stabil alapokon, magas szakmai színvonalon fog működni, az open data eszközrendszer kiváló szakértőjévé illetve egy új open data közösség mozgatórugójává válik, informatikai és tudásátadó szolgáltatásaival komoly hátteret nyújt más közösségek antikorrupciós érdekérvényesítő vagy információs tevékenységéhez. Ezen közösségeket a projekt során megerősíti, velük együttműködést épít ki, bevonó, közösségi gondolkodást ösztönző, a jó kormányzás alapelveit figyelembe vevő fejlesztési folyamat végére a szervezetek az open data eszköztár megismerése és kipróbálása révén eredményesebbé válnak az érdekérvényesítés és társadalmi mobilizálás terén.",,€119 760
Demokrácia és emberi jogok (Makró),"democracy and human rights",106,NCTA-2013-4152-M1,Krétakör Alapítvány,Humán Platform országos szervezetfejlesztés,Human Platform nation-wide organization development and networking,Budapest,Budapest,Krétakör Foundation,HU05-0083 - Human Platform nation-wide organization development and networking,"Partnerships among human service sectors and organizations represented in the Human Platform (HP) (health care, education, culture, social services) are underdeveloped, out of date and powerless. Professional advocacy efforts are fragmented. The aim of the project is to change this situation, to restore the indenpendency of professions and improve their position. The planned project aims to share good practices, to analyze problems/risks in the fields and to support institutional information exchange. The challenges are addressed through “basis” projects: 1) secretariat of HP and 2 incubator rooms; 2) network projects - networking events in countryside; 3) policy paper on participatory cultural vision; 4) seminar series on democracy/civic lobby activities; 5) legislative theatre series; 6) concept on harmonization of watchdog activity of professional civic organizations; 7) presentation and implementation of good practices with documentation and PR.","A kétéves Humán Platform projekt célja, hogy az egyes humán-ágazatokon belül kialakítsa az érdekegyeztetés minimál-protokolljait, és lehetővé tegye az ágazati szempontok tisztázását és világos képviseletét. Ez a folyamat idővel az ágazatok közti szinergiák és közös platformok megteremtését eredményezheti. A szakmai közegek fejlesztésén túl a projekt az állampolgári aktivizáláson keresztül a részvételi demokrácia hazai elterjesztésére is kísérletet tesz. A célok érdekében a Krétakör felépíti a Humán Platform ernyőszervezetet, és annak országos hálózatát valamint szakmai, ágazatok közötti érdekegyeztető és közös szakpolitikákat eredményező munkát indít el. A szervezeti fejlesztés szoft elemei közé tartozik egy központi titkárság, illetve informatikai háttér kialakítása. A fizikai beruházások közt egy pesti, és a második év végére egy vidéki civil inkubátor-szobát alakít ki a Krétakör. A beruházások lehetővé teszik a tagszervezetek közötti egyeztetések, illetve az ilyen módon összekapcsolt munka hatékonyságának növelését. A tagszervezetek a teljes infrastrukturális hátteret szabadon használhatják, és az egyes ágazatok egymás szempontjait is megismerhetik. Az ilyen módon nyert tudásra építve a A Humán Platfom a legkülönbözőbb szakmai és érdekvédelmi projekteken keresztül törekszik a gyakorlati szakmai érdekképviseletre (vitafórumok, szemináriumok, kampányok, demonstrációk, videófilmek, online-kampányok stb.).",,€119 840
Demokrácia és emberi jogok (Makró),"democracy and human rights",127,NCTA-2013-4194-M1,Labrisz Leszbikus Egyesület,"MELEGSÉG ÉS MEGISMERÉS - Egy innovatív, érzékenyítő iskolai program továbbfejlesztése",Awareness raising about homosexuality - developing of an innovative school programme for sensitizing,Budapest,Budapest,Labrisz Lesbian Association,HU05-0095 - Awareness raising about homosexuality - developing of an innovative school programme for sensitizing,"The current Hungarian politics doesn’t support any programs enhancing tolerance towards LGBT people, however, this and stopping violence against minorities are development priorities of the EU. The project aims to encourage LGBT communities, build their capacity and further develop the organization´s school-training program. They also plan to exchange experiences with other minority groups and NGOs and to advertise voluntary activities. Thus, their advocacy capacity will grow, their volunteer recruitment will become more effective and stronger cooperation between minorities will develop. Also the visibility of LGBT people and their self-recognition will increase.","A kisebbségek elleni erőszak megfékezése és a tolerancia erősítése az EU fejlesztési céljai közé tartozik, hazánkban a kormányzat mégsem támogatja ezeket a területeket. A \"melegség és megismerés\" program célja az LMBT csoportok megerősítése, kapacitásfejlesztése és a szervezet iskolai programjának fejlesztése. Emellett kapcsolatot szeretnének építeni más kisebbségeket segítő szervezetekkel, népszerűsítenék az önkéntességet, és ösztönzik a társadalmi szemléletformálást, a gyűlöletbeszéd és kirekesztettség elleni hatékony fellépést. Eredményként várható, hogy nő a résztvevők érdekérvényesítési képessége, hatékonyabbá válik az önkéntesek bevonása, a kisebbségek közti együttműködések nőnek, és az LMBT emberek láthatóbbá válnak.",,€62 434
Demokrácia és emberi jogok (Makró),"democracy and human rights",125,NCTA-2013-4192-M1,Roma Sajtóközpont,Opre Roma! Közösségi kommunikáció és érdekérvényesítés,Opre Roma! Community communication and advocacy,Budapest,Budapest,Romani Press Centre,HU05-0094 - Opre Roma! Community communication and advocacy,"Roma NGOs are becoming weaker in Hungary while anti-Roma sentiments have grown stronger. General problems of Roma communities in housing, education, employment, etc. are not improved and bagatelilsed. Therefore, the project aims at obtaining considerable publicity for news concerning Roma people; providing more content concerning activities of the Roma community; strengthening communities for the representation of communities’ interests. The outcomes of the project should be strengthened Roma self-consciousness, improved ability to represent interests; that the voice of Roma is heard more effectively in press, public discussions and the social media; creating strong influence on political and public discussions; major society will have a more objective picture; prejudices decreased towards non-Roma people. RPC will achieve this through capacity building; community journalism; Roma communities development; local media roundtables; and social campaigns. RPC is cooperating with the largest domestic Roma movement.","Míg a roma-ellenes nézetek egyre erősebbé válnak, a roma szervezetek egyre gyengülnek. A roma közösségek problémáit (lakhatás, oktatás, foglalkoztatás) nem kezelik megfelelően, bagatellizálják. A projekt célja, hogy nyilvánosságot szerezzen a roma embereket érintő híreknek és a roma közösségekről szóló tartalmakat készítsen, és megerősítse a közösségeket. Ezek eredményeképp megerősödik a roma öntudat, és a hazai legnagyobb kisebbség saját hangján és erőteljesebben lesz jelen a közbeszédben, a sajtóban és a közösségi médiában. A társadalmi és politikai közbeszédre is erős hatást tudnak kifejteni, a többségi társadalom objektívebb képet kap a számára alig ismert közösségekről, és a nem romák előítéletei csökkennek.",,€99 550
Demokrácia és emberi jogok (Makró),"democracy and human rights",113,NCTA-2013-4167-M1,Menhely Alapítvány,A hajléktalan emberek esélyegyenlőségéért,Equal opportunities for the homeless people,Budapest,Budapest,Shelter Foundation,HU05-0088 - Equal opportunities for the homeless people,"Shelter Foundation has always been providing for the needs of the homeless and creating equal opportunities for them. However, after two decades, in view of new regulations, SF needs to ask itself whether its services and other activities have been able to build a social environment which accepts the homeless. Therefore, the project's aim is to reduce the disadvantages caused by worsening legal situation and discrimination, and SF has to develop other NGOs and informal communities to achieve the goal. The decade long experiencs of SF projects which provide legal protection and aim at decreasing prejudices will be implemented in the daily work and communication strategy. SF will prepare the personnel of the homeless care system to influence decision making and cope with circumstances that may be created by the expected legal changes regulating the use of public spaces by the homeless. Through conveying information to the public SF also offers personal experience to promote an understanding of their life stories.","A Menhely Alapítvány fő tevékenysége mindig a hajléktalan emberek ellátása és az egyenlő esélyek megteremtése volt, az alapszükségletek biztosításáért végzett munka azonban háttérbe szorította az esélyegyenlőségi aspektusokat. Két évtized elteltével, az új jogi szabályozások fényében merült fel a kérdés, hogy a jelenlegi szolgáltatások elegendők-e a hajléktalan embert befogadó társadalmi környezet megteremtéséhez. A projekt célja a romló jogszabályi környezet és az előítéletek okozta hátrányok csökkentése. A Menhely fejleszteni szeretné évtizedes tapasztalatokon alapuló, jogvédelemmel, előítélet-csökkentéssel foglalkozó projektjeit, és átadni ezeket a szektorban dolgozó intézményeknek, civil szervezteknek és informális közösségeknek. Felkészítik továbbá a hajléktalan ellátórendszer szereplőit a hajléktalan emberek közterület-használatát rendező jogszabályváltozások okozta helyzetre és a döntéshozatal befolyásolására. A lakossággal pedig szeretnék személyesen megismertetni a hajléktalan élettörténeteket.",,€119 818
Demokrácia és emberi jogok (Makró),"democracy and human rights",124,NCTA-2013-4189-M1,Transparency International Magyarország Alapítvány,TI Akadémia,TI Academy,Budapest,Budapest,Transparency International Hungary,HU05-0093 - TI Academy,"According to relevant researches, youngsters believe they are more resistent to corruption than the majority of society: 73% of them feel that they should be part of the fight against corruption, but assume that their efforts would be disregarded. A quarter of youngsters do not know where to turn when encountering corruption. Still, no targeted educational program is available in Hungary, while at the same time corruption shows worsening tendencies. The goal is to strengthen a societal basis that rejects corruption through an educational and mobilization program based on cooperation between TI and joining youth organizations. TI Academy teaches youngsters about corruption and the ways to act and mobilize against it. Targeted are youth organizations formed by people aged 16-29, of different profiles, working in various parts of the country: through them, the project targets the young generation fostering their commitment to the values of transparency and participatory democracy.","A Transparency International projektjének célja a szervezet társadalmi bázisának fejlesztése és országos kapcsolati hálózat kiépítése ifjúsági szervezetekkel. Kutatások igazolják, hogy a fiatalokat érdekli a korrupció témája és szívesen részt vesznek a korrupció ellenes mozgalomban. A TI ezért most ifjúsági szervezeteket is bevon a témával kapcsolatos figyelemfelkeltésbe, ismeretterjesztésbe, a fiatalok mozgósításába. A bevonandó szervezetek önszerveződő ifjúsági csoportok, akik elkötelezettek a részvételi demokrácia és az átláthatóság mellett. A projekt témái az oktatás, a korrupció formái, a párt- és kampányfinanszírozás, a közbeszerzés, oknyomozás, mobilizálás.",,€110 125
Ifjúsági és gyermek ügyek,youth and children issues,87,NCTA-2013-3400-D,Alapítvány a Társadalmunk Fenntartható Fejlődéséért,Egy/Másért: Játékkal a tehetséges gyermekekért,With games for the gifted children,Szeged,Szeged,Foundation for the Sustainable Development of our Society,HU05-0122 - With games for the gifted children,"The project focuses on extending openness of the society towards handicapped children by organizing integrative, joyful, non-formal and skill developing educational programs, where handicapped and disabled children perform as independent personalities. It comprises a series of awareness raising programs solving prejudices against disabled people. The objective of the project is to activate children with special needs, through the organization of 13 pleasant programs which contribute to the compensation of neurological function deficiencies for 70 students and their teachers from local primary schools. Parents, students from the Szeged University and other NGOs will be involved, too. The main achievement will be the increase in awareness, and the acceptance towards people with disabilities.","A rendezvénysorozat a fogyatékos emberek elfogadottságát növeli, és lehetőséget teremt, hogy pozitív társadalmi szerepekben, önálló, autonóm személyiségként mutassák meg magukat. A projekt egy hat + 1 alkalomból álló fejlesztő és tehetséggondozó kreatív programsorozatból áll, zárórendezvénye egy \"játszónap\" ahol a mozgássérült, hallássérült, látássérült fiatalok (14-30 éves korosztály) és egészséges emberek közösen töltik el aktívan és hasznosan a szabadidejüket.",,€3 178
Ifjúsági és gyermek ügyek,youth and children issues,71,NCTA-2013-3124-D,Amaro Trajo Életünk Roma Kultúráért Alapítvány,Kreatív művészet a rasszizmus ellen - Divatműhely fiataloknak,Creative art against racism - Fashion workshop for youngsters,Mátészalka,Mátészalka,Amaro Trajo OUR LIFE Foundation for Romani Culture,HU05-0119 - Creative art aginst racism - fashion workshops for youth,The project's goal is to preserve disappearing Roma traditions and to improve the identity of Roma children and young people and foster their integration. Its specific aim is to change the attitudes of children and young people and fight against racism and hate speech in an innovative way: through the language of fashion and design and with non-formal methods of learning. The direct target groups of the project are Roma and non-Roma children and young people from different schools. The project’s indirect target group is the relatives of the involved children and their local community. Main activities are organizing the Creative arts against racism - fashion workshop for youth: skill-developing training in fashion and design based on the traditions of the Roma fashion and organizing ‘Get to know the Roma’ - interactive arts workshop: complex conflict management and skills development with the tools of arts in and outside of educational institutions.,"A pályázat célja, hogy interaktív művészeti foglalkozásokkal, divatpályázattal és roma népismeret terjesztő programok szervezésével segítse a romák társadalmi integrációját, formálja a fiatalok szemléletét. A program helyszínei: Budapest és Szabolcs-Szatmár Bereg Megyében a mátészalkai kistérség. A divatpályázatra érkezett legszebb pályamunkákból és elkészült alkotásokból kiállítást rendeznek.",,€1 169
